week,channel,spend,impressions,kpi,brand_search_control
2024-01-01,display,55000.0,9166667,131929.83,50.0
2024-01-01,video_olv,42000.0,3500000,130130.79,50.0
2024-01-01,paid_social,33000.0,4125000,89052.63,50.0
2024-01-01,paid_search,26000.0,8666667,119536.42,50.0
2024-01-01,audio,9000.0,900000,15291.87,50.0
2024-01-08,display,57071.36,9511893,138652.8,52.5
2024-01-08,video_olv,43581.76,3631814,136762.08,52.5
2024-01-08,paid_social,34242.81,4280352,93590.64,52.5
2024-01-08,paid_search,26979.19,8993062,125627.84,52.5
2024-01-08,audio,9338.95,933895,16071.12,52.5
2024-01-15,display,59113.71,9852285,145199.48,54.9
2024-01-15,video_olv,45141.38,3761781,143219.48,54.9
2024-01-15,paid_social,35468.23,4433528,98009.65,54.9
2024-01-15,paid_search,27944.66,9314887,131559.53,54.9
2024-01-15,audio,9673.15,967315,16829.94,54.9
2024-01-22,display,61098.48,10183080,151448.72,57.3
2024-01-22,video_olv,46657.02,3888085,149383.51,57.3
2024-01-22,paid_social,36659.09,4582386,102227.89,57.3
2024-01-22,paid_search,28882.92,9627639,137221.72,57.3
2024-01-22,audio,9997.93,999793,17554.28,57.3
2024-01-29,display,62997.93,10499655,157281.01,59.6
2024-01-29,video_olv,48107.51,4008959,155136.27,59.6
2024-01-29,paid_social,37798.76,4724845,106164.68,59.6
2024-01-29,paid_search,29780.84,9926947,142506.12,59.6
2024-01-29,audio,10308.75,1030875,18230.3,59.6
2024-02-05,display,64785.57,10797595,162581.91,61.8
2024-02-05,video_olv,49472.62,4122718,160364.89,61.8
2024-02-05,paid_social,38871.34,4858918,109742.79,61.8
2024-02-05,paid_search,30625.91,10208635,147309.07,61.8
2024-02-05,audio,10601.27,1060127,18844.72,61.8
2024-02-12,display,66436.52,11072754,167245.66,63.7
2024-02-12,video_olv,50733.35,4227779,164965.03,63.7
2024-02-12,paid_social,39861.91,4982739,112890.82,63.7
2024-02-12,paid_search,31406.36,10468786,151534.7,63.7
2024-02-12,audio,10871.43,1087143,19385.29,63.7
2024-02-19,display,67927.93,11321321,171178.38,65.5
2024-02-19,video_olv,51872.24,4322686,168844.13,65.5
2024-02-19,paid_social,40756.76,5094595,115545.4,65.5
2024-02-19,paid_search,32111.38,10703795,155097.98,65.5
2024-02-19,audio,11115.48,1111548,19841.13,65.5
2024-02-26,display,69239.23,11539872,174301.13,67.1
2024-02-26,video_olv,52873.6,4406133,171924.3,67.1
2024-02-26,paid_social,41543.54,5192943,117653.26,67.1
2024-02-26,paid_search,32731.27,10910425,157927.39,67.1
2024-02-26,audio,11330.06,1133006,20203.09,67.1
2024-03-04,display,70352.52,11725421,176552.41,68.4
2024-03-04,video_olv,53723.75,4476979,174144.87,68.4
2024-03-04,paid_social,42211.51,5276439,119172.88,68.4
2024-03-04,paid_search,33257.56,11085852,159967.18,68.4
2024-03-04,audio,11512.23,1151223,20464.03,68.4
2024-03-11,display,71252.77,11875461,177890.08,69.5
2024-03-11,video_olv,54411.2,4534267,175464.3,69.5
2024-03-11,paid_social,42751.66,5343958,120075.8,69.5
2024-03-11,paid_search,33683.13,11227709,161179.19,69.5
2024-03-11,audio,11659.54,1165954,20619.08,69.5
2024-03-18,display,71928.04,11988007,178292.65,70.3
2024-03-18,video_olv,54926.87,4577239,175861.38,70.3
2024-03-18,paid_social,43156.82,5394603,120347.54,70.3
2024-03-18,paid_search,34002.35,11334115,161543.94,70.3
2024-03-18,audio,11770.04,1177004,20665.74,70.3
2024-03-25,display,72369.7,12061616,177759.82,70.8
2024-03-25,video_olv,55264.13,4605344,175335.82,70.8
2024-03-25,paid_social,43421.82,5427727,119987.88,70.8
2024-03-25,paid_search,34211.13,11403710,161061.17,70.8
2024-03-25,audio,11842.31,1184231,20603.98,70.8
2024-04-01,display,72572.5,12095417,176312.27,71.0
2024-04-01,video_olv,55419.0,4618250,173908.01,71.0
2024-04-01,paid_social,43543.5,5442938,119010.78,71.0
2024-04-01,paid_search,34307.0,11435667,159749.6,71.0
2024-04-01,audio,11875.5,1187550,20436.19,71.0
2024-04-08,display,72534.7,12089116,173990.73,71.0
2024-04-08,video_olv,55390.13,4615844,171618.13,71.0
2024-04-08,paid_social,43520.82,5440102,117443.74,71.0
2024-04-08,paid_search,34289.13,11429710,157646.14,71.0
2024-04-08,audio,11869.31,1186931,20167.11,71.0
2024-04-15,display,72258.04,12043007,170854.37,70.6
2024-04-15,video_olv,55178.87,4598239,168524.54,70.6
2024-04-15,paid_social,43354.82,5419353,115326.7,70.6
2024-04-15,paid_search,34158.35,11386115,154804.42,70.6
2024-04-15,audio,11824.04,1182404,19803.58,70.6
2024-04-22,display,71747.77,11957961,166978.61,70.0
2024-04-22,video_olv,54789.2,4565767,164701.62,70.0
