market,week_start,total_spend,search_spend,social_spend,display_spend,video_spend,brand_search,revenue
market_alpha,2021-01-04,42450.65,15089.21,10519.91,9667.91,7173.61,32.8,50905.91
market_alpha,2021-01-11,36772.3,13594.74,8521.85,7613.47,7042.25,33.25,132027.89
market_alpha,2021-01-18,45746.95,15475.79,11424.5,9973.31,8873.35,56.76,232483.07
market_alpha,2021-01-25,49889.8,16950.75,12649.6,11830.9,8458.55,57.26,288167.03
market_alpha,2021-02-01,48316.82,16038.33,11695.61,11401.36,9181.53,60.87,346702.96
market_alpha,2021-02-08,48037.55,16269.83,11660.3,10873.24,9234.18,62.81,386787.79
market_alpha,2021-02-15,41150.26,15315.96,9380.75,9312.37,7141.19,69.22,369466.96
market_alpha,2021-02-22,42955.51,15154.86,11211.39,8721.42,7867.83,75.76,400906.48
market_alpha,2021-03-01,48580.72,15693.66,13104.35,10784.85,8997.87,65.41,454415.79
market_alpha,2021-03-08,55533.62,19261.08,13783.45,12531.08,9958.0,57.42,428290.12
market_alpha,2021-03-15,56019.66,19424.58,13837.43,12435.49,10322.17,68.37,385598.19
market_alpha,2021-03-22,50733.1,16375.0,13420.74,11494.25,9443.11,70.8,406741.44
market_alpha,2021-03-29,52516.78,19048.6,12595.61,11631.98,9240.58,74.03,452146.69
market_alpha,2021-04-05,58879.64,21193.59,14387.51,13333.35,9965.19,76.5,463372.37
market_alpha,2021-04-12,49588.91,17182.15,12143.31,10524.39,9739.06,67.32,487778.73
market_alpha,2021-04-19,61108.51,21803.68,14906.14,13584.26,10814.43,64.09,460148.67
market_alpha,2021-04-26,54624.06,19459.57,13543.83,12491.81,9128.85,65.68,415553.89
market_alpha,2021-05-03,49830.27,18072.72,13602.66,10173.73,7981.16,74.9,420018.33
market_alpha,2021-05-10,46750.41,15601.63,12129.0,10164.08,8855.7,69.45,465840.95
market_alpha,2021-05-17,41364.32,13855.86,11071.86,8832.11,7604.49,68.17,463992.47
market_alpha,2021-05-24,54781.97,20232.19,13585.92,11911.1,9052.77,66.58,454719.09
market_alpha,2021-05-31,40624.58,13866.76,10507.52,8702.18,7548.13,64.93,413203.27
market_alpha,2021-06-07,38658.24,12193.68,9887.88,9039.82,7536.86,64.09,386844.07
market_alpha,2021-06-14,44032.67,15745.71,10091.17,10194.16,8001.62,66.53,403371.09
market_alpha,2021-06-21,37231.23,13191.06,9445.76,8465.09,6129.32,56.82,435798.57
market_alpha,2021-06-28,31030.07,11526.96,7399.25,6678.44,5425.42,63.52,389090.91
market_alpha,2021-07-05,47469.51,16785.64,11572.65,10759.25,8351.96,58.21,409971.36
market_alpha,2021-07-12,39590.16,13721.09,10316.85,8756.41,6795.81,55.93,392002.35
market_alpha,2021-07-19,36658.7,11972.0,9833.75,8372.8,6480.15,64.29,357956.74
market_alpha,2021-07-26,49238.86,18008.2,12556.62,11105.73,7568.31,57.4,366566.84
